xa,ya,za,row,pitch,yaw
1.25E-15,6.15E-16,-1.63E-15,6.18E-14,3.85E-15,-5.57E-16
3.22E-15,1.24E-15,-4.37E-15,2.84E-13,1.83E-14,-1.96E-15
5.31E-15,1.90E-15,-7.29E-15,5.19E-13,3.35E-14,-3.45E-15
7.97E-15,2.74E-15,-1.10E-14,8.23E-13,5.32E-14,-5.37E-15
1.11E-14,3.72E-15,-1.54E-14,1.18E-12,7.66E-14,-7.63E-15
1.16E-14,3.83E-15,-1.65E-14,1.11E-12,7.20E-14,-7.17E-15
9.28E-15,2.96E-15,-1.40E-14,5.56E-13,3.66E-14,-3.72E-15
5.47E-15,1.60E-15,-9.73E-15,-2.50E-13,-1.51E-14,1.32E-15
-6.78E-16,-5.56E-16,-2.53E-15,-1.45E-12,-9.20E-14,8.82E-15
-7.25E-15,-2.87E-15,5.11E-15,-2.74E-12,-1.75E-13,1.69E-14
-1.42E-14,-5.31E-15,1.31E-14,-4.12E-12,-2.63E-13,2.55E-14
-2.32E-14,-8.45E-15,2.37E-14,-5.85E-12,-3.74E-13,3.64E-14
-3.39E-14,-1.22E-14,3.63E-14,-7.88E-12,-5.05E-13,4.91E-14
-3.73E-14,-1.34E-14,4.08E-14,-8.81E-12,-5.64E-13,5.49E-14
-3.27E-14,-1.19E-14,3.63E-14,-8.54E-12,-5.45E-13,5.32E-14
-2.42E-14,-9.03E-15,2.75E-14,-7.70E-12,-4.90E-13,4.79E-14
-9.27E-15,-3.94E-15,1.14E-14,-5.89E-12,-3.72E-13,3.65E-14
6.43E-15,1.40E-15,-5.23E-15,-4.01E-12,-2.49E-13,2.47E-14
2.26E-14,6.93E-15,-2.23E-14,-2.10E-12,-1.24E-13,1.27E-14
4.44E-14,1.44E-14,-4.55E-14,6.37E-13,5.49E-14,-4.54E-15
7.07E-14,2.34E-14,-7.35E-14,4.02E-12,2.75E-13,-2.58E-14
8.11E-14,2.68E-14,-8.65E-14,5.00E-12,3.40E-13,-3.20E-14
7.46E-14,2.41E-14,-8.32E-14,3.38E-12,2.36E-13,-2.18E-14
5.98E-14,1.85E-14,-7.23E-14,4.93E-13,4.98E-14,-3.75E-15
3.13E-14,8.00E-15,-4.83E-14,-4.50E-12,-2.73E-13,2.75E-14
1.80E-15,-2.98E-15,-2.34E-14,-9.76E-12,-6.13E-13,6.04E-14
-2.82E-14,-1.42E-14,1.92E-15,-1.52E-11,-9.66E-13,9.45E-14
-6.99E-14,-2.98E-14,3.85E-14,-2.25E-11,-1.44E-12,1.40E-13
-1.21E-13,-4.86E-14,8.40E-14,-3.13E-11,-2.01E-12,1.95E-13
-1.43E-13,-5.64E-14,1.04E-13,-3.56E-11,-2.28E-12,2.22E-13
-1.35E-13,-5.21E-14,9.74E-14,-3.49E-11,-2.23E-12,2.20E-13
-1.13E-13,-4.21E-14,7.82E-14,-3.19E-11,-2.03E-12,2.03E-13
-6.60E-14,-2.24E-14,3.75E-14,-2.49E-11,-1.58E-12,1.63E-13
-2.87E-14,-8.06E-15,1.84E-14,-2.09E-11,-1.31E-12,1.40E-13
-3.27E-15,-1.06E-16,2.41E-14,-2.03E-11,-1.26E-12,1.35E-13
3.61E-14,1.23E-14,2.56E-14,-1.83E-11,-1.12E-12,1.22E-13
8.17E-14,2.57E-14,3.35E-14,-1.65E-11,-9.90E-13,1.10E-13
1.17E-13,4.19E-14,8.99E-15,-1.17E-11,-6.76E-13,8.11E-14
1.43E-13,6.22E-14,-5.40E-14,-3.16E-12,-1.30E-13,3.23E-14
1.62E-13,8.30E-14,-1.29E-13,6.33E-12,4.73E-13,-2.15E-14
