1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
99,208,905,-18,-14,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,208,905,-18,-14,-3,-380,-1583,-30,0,0,0,0,0,0,0.349999994039536,0,0,0,0,
99,208,905,-18,-14,-3,-380,-1583,-30,0,0,3.50999999046326,5.01000022888184,55.3199996948242,0,0.349999994039536,0,0,0,0,
98,210,915,-20,-12,-3,-380,-1583,-30,0,0,3.50999999046326,5.01000022888184,55.3199996948242,0,0.349999994039536,0,0,0,0,
98,210,915,-20,-12,-3,-380,-1583,-30,0,0,3.38000011444092,5.15000009536743,55.310001373291,0,0.349999994039536,0,0,0,0,
98,210,915,-20,-12,-3,-380,-1583,-30,0,-0.800000011920929,3.38000011444092,5.15000009536743,55.310001373291,0,0.349999994039536,0,0,0,0,
103,197,912,-21,-12,-3,-380,-1583,-30,0,-0.800000011920929,3.38000011444092,5.15000009536743,55.310001373291,0,0.349999994039536,0,0,0,0,
103,197,912,-21,-12,-3,-380,-1583,-30,0,-0.800000011920929,3.38000011444092,5.15000009536743,55.310001373291,0,0.349999994039536,0,0,0,0,
103,197,912,-21,-12,-3,-380,-1583,-30,0,-0.800000011920929,3.23000001907349,5.28000020980835,54.9599990844727,0,0.349999994039536,0,0,0,0,
105,182,925,-22,-11,-4,-380,-1583,-30,0,-0.800000011920929,3.23000001907349,5.28000020980835,54.9599990844727,0,0.349999994039536,0,0,0,0,
105,182,925,-22,-11,-4,-380,-1583,-30,0,-0.800000011920929,3.05999994277954,5.40999984741211,54.6800003051758,0,0.349999994039536,0,0,0,0,
120,160,927,-23,-10,-4,-380,-1583,-30,0,-0.800000011920929,3.05999994277954,5.40999984741211,54.6800003051758,0,0.349999994039536,0,0,0,0,
120,160,927,-23,-10,-4,-380,-1583,-30,0,-0.800000011920929,3.05999994277954,5.40999984741211,54.6800003051758,0,0.349999994039536,0,0,0,0,
120,160,927,-23,-10,-4,-380,-1583,-30,0,-0.800000011920929,2.90000009536743,5.51000022888184,54.5,0,0.349999994039536,0,0,0,0,
130,149,929,-25,-9,-4,-380,-1583,-30,0,-0.800000011920929,2.90000009536743,5.51000022888184,54.5,0,0.349999994039536,0,0,0,0,
130,149,929,-25,-9,-4,-380,-1583,-30,0,-0.800000011920929,2.70000004768372,5.63000011444092,54.3400001525879,0,0.349999994039536,0,0,0,0,
126,140,943,-27,-8,-4,-380,-1583,-30,0,-0.800000011920929,2.70000004768372,5.63000011444092,54.3400001525879,0,0.349999994039536,0,0,0,0,
