1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
81,-3,970,-4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,-3,970,-4,6,1,0,0,0,0,0,0.0599999986588955,4.6100001335144,164.759994506836,0,0,0,0,0,0,
79,-1,971,-4,6,2,0,0,0,0,0,0.0599999986588955,4.6100001335144,164.759994506836,0,0,0,0,0,0,
79,-1,971,-4,6,2,-696,-1695,-34,1.20000004768372,0,0.0599999986588955,4.6100001335144,164.759994506836,0,0.340000003576279,0,0,0,0,
79,-1,971,-4,6,2,-696,-1695,-34,1.20000004768372,0,0.0199999995529652,4.55999994277954,164.520004272461,0,0.340000003576279,0,0,0,0,
76,-2,970,-4,6,2,-696,-1695,-34,1.20000004768372,0,0.0199999995529652,4.55999994277954,164.520004272461,0,0.340000003576279,0,0,0,0,
76,-2,970,-4,6,2,-696,-1695,-34,1.20000004768372,0,-0.00999999977648258,4.51000022888184,164.320007324219,0,0.340000003576279,0,0,0,0,
72,0,966,-4,5,2,-696,-1695,-34,1.20000004768372,0,-0.00999999977648258,4.51000022888184,164.320007324219,0,0.340000003576279,0,0,0,0,
72,0,966,-4,5,2,-696,-1695,-34,1.26999998092651,0,-0.00999999977648258,4.51000022888184,164.320007324219,0,0.349999994039536,0,0,0,0,
72,0,966,-4,5,2,-696,-1695,-34,1.26999998092651,0,-0.0599999986588955,4.44000005722046,164.039993286133,0,0.349999994039536,0,0,0,0,
70,1,968,-4,6,2,-696,-1695,-34,1.26999998092651,0,-0.0599999986588955,4.44000005722046,164.039993286133,0,0.349999994039536,0,0,0,0,
70,1,968,-4,6,2,-696,-1695,-34,1.26999998092651,0,-0.100000001490116,4.38000011444092,163.570007324219,0,0.349999994039536,0,0,0,0,
70,1,968,-4,6,2,-696,-1695,-34,1.26999998092651,-0.860000014305115,-0.100000001490116,4.38000011444092,163.570007324219,0,0.349999994039536,0,0,0,0,
70,1,968,-4,5,2,-696,-1695,-34,1.26999998092651,-0.860000014305115,-0.100000001490116,4.38000011444092,163.570007324219,0,0.349999994039536,0,0,0,0,
70,1,968,-4,5,2,-696,-1695,-34,1.30999994277954,-0.860000014305115,-0.100000001490116,4.38000011444092,163.570007324219,0,0.349999994039536,0,0,0,0,
70,1,968,-4,5,2,-696,-1695,-34,1.30999994277954,-0.860000014305115,-0.140000000596046,4.32000017166138,162.949996948242,0,0.349999994039536,0,0,0,0,
67,-2,965,-4,6,2,-696,-1695,-34,1.30999994277954,-0.860000014305115,-0.140000000596046,4.32000017166138,162.949996948242,0,0.349999994039536,0,0,0,0,
67,-2,965,-4,6,2,-696,-1695,-34,1.30999994277954,-0.860000014305115,-0.180000007152557,4.26999998092651,162.850006103516,0,0.349999994039536,0,0,0,0,
64,2,963,-4,6,2,-696,-1695,-34,1.30999994277954,-0.860000014305115,-0.180000007152557,4.26999998092651,162.850006103516,0,0.349999994039536,0,0,0,0,
64,2,963,-4,6,2,-696,-1695,-34,1.3400000333786,-0.860000014305115,-0.180000007152557,4.26999998092651,162.850006103516,0,0.349999994039536,0,0,0,0,
64,2,963,-4,6,2,-696,-1695,-34,1.3400000333786,-0.860000014305115,-0.109999999403954,4.21000003814697,163.210006713867,0,0.349999994039536,0,0,0,0,
63,2,967,-4,5,2,-696,-1695,-34,1.3400000333786,-0.860000014305115,-0.109999999403954,4.21000003814697,163.210006713867,0,0.349999994039536,0,0,0,0,
63,2,967,-4,5,2,-696,-1695,-34,1.3400000333786,-0.860000014305115,-0.159999996423721,4.15000009536743,163.710006713867,0,0.349999994039536,0,0,0,0,
61,1,966,-5,5,2,-696,-1695,-34,1.3400000333786,-0.860000014305115,-0.159999996423721,4.15000009536743,163.710006713867,0,0.349999994039536,0,0,0,0,
61,1,966,-5,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.159999996423721,4.15000009536743,163.710006713867,0,0.349999994039536,0,0,0,0,
61,1,966,-5,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.200000002980232,4.09000015258789,164.259994506836,0,0.349999994039536,0,0,0,0,
61,1,966,-5,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.200000002980232,4.09000015258789,164.259994506836,0,0.349999994039536,0,0,0,0,
61,1,966,-5,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.200000002980232,4.09000015258789,164.259994506836,0,0.349999994039536,0,0,0,0,
62,0,966,-4,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.200000002980232,4.09000015258789,164.259994506836,0,0.349999994039536,0,0,0,0,
62,0,966,-4,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.25,4.03000020980835,164.720001220703,0,0.349999994039536,0,0,0,0,
60,-1,968,-4,5,2,-697,-1695,-34,1.44000005722046,-0.860000014305115,-0.25,4.03000020980835,164.720001220703,0,0.349999994039536,0,0,0,0,
60,-1,968,-4,5,2,-697,-1695,-34,1.49000000953674,-0.860000014305115,-0.25,4.03000020980835,164.720001220703,0,0.349999994039536,0,0,0,0,
