1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
293,83,992,3,-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,83,992,3,-8,-1,-99,-1655,61,0.370000004768372,0,0,0,0,0,0.340000003576279,0,0,0,0,
293,83,992,3,-8,-1,-99,-1655,61,0.370000004768372,0,0.109999999403954,5.23999977111816,-36.3300018310547,0,0.340000003576279,0,0,0,0,
297,67,1001,2,-6,-1,-99,-1655,61,0.370000004768372,0,0.109999999403954,5.23999977111816,-36.3300018310547,0,0.340000003576279,0,0,0,0,
297,67,1001,2,-6,-1,-99,-1655,61,0.370000004768372,0,0.170000001788139,5.3600001335144,-36.25,0,0.340000003576279,0,0,0,0,
259,59,989,1,-6,-2,-99,-1655,61,0.370000004768372,0,0.170000001788139,5.3600001335144,-36.25,0,0.340000003576279,0,0,0,0,
259,59,989,1,-6,-2,-99,-1655,61,0.509999990463257,0,0.170000001788139,5.3600001335144,-36.25,0,0.340000003576279,0,0,0,0,
259,59,989,1,-6,-2,-99,-1655,61,0.509999990463257,0,0.219999998807907,5.46000003814697,-35.8699989318848,0,0.340000003576279,0,0,0,0,
307,59,1003,2,-5,-2,-99,-1655,61,0.509999990463257,0,0.219999998807907,5.46000003814697,-35.8699989318848,0,0.340000003576279,0,0,0,0,
307,59,1003,2,-5,-2,-99,-1655,61,0.509999990463257,0,0.259999990463257,5.53999996185303,-35.4799995422363,0,0.340000003576279,0,0,0,0,
321,44,994,0,-3,-2,-99,-1655,61,0.509999990463257,0,0.259999990463257,5.53999996185303,-35.4799995422363,0,0.340000003576279,0,0,0,0,
321,44,994,0,-3,-2,-99,-1656,61,0.779999971389771,0,0.259999990463257,5.53999996185303,-35.4799995422363,0,0.340000003576279,0,0,0,0,
321,44,994,0,-3,-2,-99,-1656,61,0.779999971389771,0,0.28999999165535,5.6100001335144,-35.1100006103516,0,0.340000003576279,0,0,0,0,
321,44,994,0,-3,-2,-99,-1656,61,0.779999971389771,-0.730000019073486,0.28999999165535,5.6100001335144,-35.1100006103516,0,0.340000003576279,0,0,0,0,
301,55,989,0,-2,-3,-99,-1656,61,0.779999971389771,-0.730000019073486,0.28999999165535,5.6100001335144,-35.1100006103516,0,0.340000003576279,0,0,0,0,
301,55,989,0,-2,-3,-99,-1656,61,0.779999971389771,-0.730000019073486,0.310000002384186,5.69000005722046,-34.8300018310547,0,0.340000003576279,0,0,0,0,
313,45,1003,0,-1,-3,-99,-1656,61,0.779999971389771,-0.730000019073486,0.310000002384186,5.69000005722046,-34.8300018310547,0,0.340000003576279,0,0,0,0,
313,45,1003,0,-1,-3,-99,-1656,61,0.910000026226044,-0.730000019073486,0.310000002384186,5.69000005722046,-34.8300018310547,0,0.340000003576279,0,0,0,0,
313,45,1003,0,-1,-3,-99,-1656,61,0.910000026226044,-0.730000019073486,0.330000013113022,5.75,-34.7099990844727,0,0.340000003576279,0,0,0,0,
316,43,994,0,0,-3,-99,-1656,61,0.910000026226044,-0.730000019073486,0.330000013113022,5.75,-34.7099990844727,0,0.340000003576279,0,0,0,0,
316,43,994,0,0,-3,-99,-1656,61,0.910000026226044,-0.730000019073486,0.340000003576279,5.78999996185303,-34.7700004577637,0,0.340000003576279,0,0,0,0,
